Tamanho do Pacote (bytes),Porta de Origem,Porta de Destino
82,49481,3544
91,52421,443
92,443,52421
207,55963,443
253,55963,443
181,55963,443
256,55963,443
210,55963,443
181,55963,443
74,443,55963
74,443,55963
249,443,55963
74,55963,443
217,57827,1900
218,57828,1900
212,57831,1900
172,55963,443
446,52421,443
74,443,55963
214,59727,6667
99,443,52421
95,52421,443
143,55963,443
74,443,55963
145,443,55963
74,55963,443
91,52421,443
609,443,52421
101,52421,443
85,443,52421
95,52421,443
88,443,52421
88,443,52421
111,56501,53
111,49768,53
111,50519,53
139,53,56501
127,53,49768
136,53,50519
142,58969,443
605,58969,443
351,443,58969
110,443,58969
142,443,58969
110,443,58969
462,443,58969
96,58969,443
100,58969,443
96,58969,443
96,58969,443
96,58969,443
96,58969,443
101,443,58969
238,443,58969
96,58969,443
96,58969,443
96,58969,443
96,58969,443
96,58969,443
96,58969,443
96,58969,443
96,58969,443
97,58969,443
211,443,58969
98,58969,443
91,52421,443
88,443,52421
102,53862,53
102,54530,53
102,61164,53
143,53,54530
155,53,53862
172,53,61164
86,55969,443
86,443,55969
74,55969,443
54,443,55777
74,443,55969
1137,443,55969
74,55969,443
138,55969,443
166,55969,443
622,55969,443
911,55969,443
74,443,55969
74,443,55969
245,443,55969
148,443,55969
118,443,55969
74,55969,443
105,55969,443
91,52421,443
74,443,55969
88,443,52421
468,443,55969
218,57828,1900
217,57827,1900
212,57831,1900
74,55969,443
91,52421,443
88,443,52421
91,52421,443
86,57621,57621
88,443,52421
91,52421,443
88,443,52421
254,55969,443
91,52421,443
74,443,55969
74,443,55969
74,443,55969
109,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
217,57827,1900
218,57828,1900
212,57831,1900
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
88,443,52421
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
391,55963,443
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55969
74,443,55963
501,443,55963
410,443,55969
1082,55963,443
74,443,55963
74,443,55963
74,443,55963
74,55969,443
137,443,55963
137,443,55963
74,55963,443
91,52421,443
88,443,52421
94,63108,53
94,50300,53
94,64596,53
119,53,64596
110,53,50300
94,64742,53
122,53,64742
138,54421,443
373,443,54421
981,443,54421
108,443,54421
86,443,54421
140,54421,443
93,54421,443
94,54421,443
182,443,54421
94,54421,443
980,52421,443
95,443,52421
95,52421,443
217,57827,1900
218,57828,1900
212,57831,1900
91,52421,443
584,443,52421
559,443,52421
101,52421,443
809,443,52421
809,443,52421
101,52421,443
86,443,52421
86,443,52421
532,52421,443
305,52421,443
564,443,52421
89,443,52421
85,443,52421
103,52421,443
96,52421,443
96,52421,443
98,443,52421
96,52421,443
88,443,52421
214,60626,443
110,443,60626
97,60626,443
561,443,52421
101,52421,443
809,443,52421
86,443,52421
534,52421,443
95,443,52421
95,52421,443
206,443,60626
100,60626,443
97,60626,443
110,443,60626
1028,443,52421
101,52421,443
236,443,52421
533,52421,443
95,443,52421
95,52421,443
91,52421,443
88,443,52421
55,55705,443
66,443,55705
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
214,59727,6667
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
98,52365,53
98,49275,53
98,54486,53
380,55963,443
74,443,55963
172,53,52365
160,53,49275
189,53,54486
210,55969,443
74,443,55969
109,443,55969
74,443,55969
74,55969,443
137,443,55963
291,443,55969
109,55969,443
74,55963,443
74,443,55969
75,55703,443
74,443,55703
42,443,52421
91,52421,443
88,443,52421
163,55963,443
163,55963,443
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
578,443,55963
616,443,55963
74,443,55963
74,443,55963
74,443,55963
74,443,55963
74,55963,443
238,55963,443
185,55963,443
74,443,55963
109,51502,53
109,63238,53
109,50548,53
137,53,51502
134,53,50548
125,53,63238
385,60626,443
110,443,60626
366,443,60626
302,443,60626
97,60626,443
100,60626,443
97,60626,443
110,443,60626
172,443,55963
172,443,55963
74,55963,443
380,55963,443
74,443,55963
161,443,55963
686,443,55963
74,55963,443
318,52421,443
318,52421,443
95,443,52421
95,52421,443
157,443,55963
155,55963,443
74,443,55963
89,443,52421
486,443,55963
158,55963,443
74,443,55963
589,443,52421
102,52421,443
90,443,52421
85,443,52421
95,52421,443
525,52421,443
156,443,55963
569,443,52421
92,443,52421
101,52421,443
95,443,52421
95,52421,443
74,55963,443
174,443,52421
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
91,52421,443
88,443,52421
214,59727,6667
91,52421,443
88,443,52421
91,52421,443
88,443,52421
55,55688,443
66,443,55688
91,52421,443
88,443,52421
91,52421,443
88,443,52421
102,55963,443
74,443,55963
74,55963,443
74,443,55963
74,55963,443
91,52421,443
88,443,52421
87,443,54421
92,443,54421
94,54421,443
154,54421,443
84,443,54421
95,54421,443
691,443,54421
99,54421,443
95,54421,443
87,443,54421
231,443,54421
95,54421,443
183,54421,443
150,54421,443
89,443,54421
94,54421,443
472,443,54421
190,443,54421
97,54421,443
94,54421,443
90,443,54421
94,54421,443
86,443,54421
97,54421,443
240,443,54421
219,443,54421
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
93,54421,443
804,443,54421
97,54421,443
86,443,54421
87,443,54421
352,54421,443
95,58822,53
95,64068,53
95,60634,53
144,53,60634
241,53,58822
321,53,64068
91,443,54421
143,55170,443
94,54421,443
85,443,54421
95,54421,443
543,443,54421
99,54421,443
95,54421,443
88,443,54421
87,443,54421
95,54421,443
96,54421,443
91,52421,443
374,443,55170
980,443,55170
111,443,55170
86,443,55170
140,55170,443
93,55170,443
274,54421,443
87,443,54421
94,55170,443
379,443,55170
175,55170,443
182,443,55170
88,443,52421
95,55170,443
542,52421,443
91,443,54421
95,55170,443
99,55170,443
95,55170,443
95,54421,443
95,443,52421
95,55170,443
95,55170,443
95,55170,443
95,55170,443
95,55170,443
95,52421,443
95,55170,443
95,55170,443
95,55170,443
95,55170,443
95,55170,443
95,55170,443
85,443,54421
96,54421,443
95,55170,443
95,55170,443
100,54421,443
99,443,54421
88,443,54421
175,443,54421
96,54421,443
96,54421,443
93,55170,443
620,443,55170
93,55170,443
284,54421,443
91,49961,53
91,54844,53
91,59292,53
90,443,54421
299,53,54844
148,53,59292
203,53,49961
95,54421,443
92,54421,443
97,54421,443
277,54421,443
91,443,54421
86,55981,443
91,52421,443
95,54421,443
101,59437,443
102,59437,443
636,443,59437
225,59437,443
868,59437,443
86,443,55981
74,55981,443
91,443,54421
588,443,52421
101,52421,443
91,55170,443
85,443,52421
95,52421,443
95,54421,443
88,443,52421
74,443,55981
74,443,55981
999,443,59437
183,443,59437
94,59437,443
206,443,59437
563,443,52421
83,443,59437
89,443,52421
85,443,52421
101,52421,443
97,59437,443
88,443,52421
95,52421,443
86,443,55170
94,59437,443
85,443,54421
96,54421,443
100,54421,443
262,443,54421
88,443,54421
128,443,54421
96,54421,443
96,54421,443
1003,443,55981
74,55981,443
148,55981,443
88,443,52421
524,52421,443
86,443,59437
97,54421,443
74,443,55981
1026,443,55981
87,443,54421
95,443,52421
74,55981,443
95,52421,443
91,55170,443
95,56405,53
95,51671,53
95,56923,53
87,443,55170
111,53,51671
145,53,56923
123,53,56405
91,52421,443
144,64537,443
88,443,52421
